"","pairIDbreedingNo","pairIDbreeding","xPOS","pos2021"
"1",1,"Farallon-3-2020-1",1,"249 -> 170"
"2",2,"Farallon-3-2020-2",2,"100"
"3",3,"Farallon-3-2020-3",3,"108"
"4",4,"Farallon-3-2020-4",4,"223 -> 200"
"5",5,"Farallon-3-2020-5",5,"133"
"6",6,"Farallon-3-2020-6",6,"178"
"7",7,"Farallon-3-2020-7",7,"189"
"8",1,"Farallon-3-2021-1",1,"104"
"9",2,"Farallon-3-2021-2",3,"133"
"10",3,"Farallon-3-2021-3",2,"119"
"11",4,"Farallon-3-2021-4",6,"222.5"
"12",5,"Farallon-3-2021-5",4,"177"
"13",6,"Farallon-3-2021-6",7,"246"
"14",7,"Farallon-3-2021-7",5,"197"
"15",1,"Rost-3-2020-1",3,"136"
"16",2,"Rost-3-2020-2",1,"100"
"17",3,"Rost-3-2020-3",4,"138"
"18",4,"Rost-3-2020-4",5,"166"
"19",5,"Rost-3-2020-5",2,"122"
"20",6,"Rost-3-2020-6",6,"182"
"21",1,"Rost-3-2021-1",1,"90"
"22",2,"Rost-3-2021-2",3,"133"
"23",3,"Rost-3-2021-3",4,"141"
"24",4,"Rost-3-2021-4",2,"117"
"25",5,"Rost-3-2021-5",5,"167"
"26",1,"Triangle-3-2020-1",3,"251"
"27",2,"Triangle-3-2020-2",1,"184"
"28",3,"Triangle-3-2020-3",2,"225"
"29",1,"Triangle-3-2021-1",4,"250"
"30",2,"Triangle-3-2021-2",3,"222"
"31",3,"Triangle-3-2021-3",2,"184"
"32",4,"Triangle-3-2021-4",1,"106"
